Country Name,Country Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,,,5.26141691207886,,,4.32343006134033,3.0699999332428,3.98425006866455,
Angola,AGO,1.99752998352051,,,,0.0883481949567795,,0.126445710659027,,
Albania,ALB,14.8080072402954,14.3157796859741,16.1501998901367,16.4676494598389,17.3219871520996,,18.2029342651367,19.834644317627,
Andorra,AND,21.1299991607666,21.0499992370605,,,,,,25.0400009155273,
United Arab Emirates,ARE,,31.6900005340576,46.560001373291,47.2900009155273,46.6300010681152,,47.1800003051758,51.0699996948242,
Armenia,ARM,27.3099994659424,24.1347694396973,24.3799991607666,24.2692451477051,27.4885902404785,24.2099990844727,28.5798759460449,28.2912654876709,
Antigua and Barbuda,ATG,,,,,,,11.8943700790405,,
Australia,AUS,29.7800006866455,30.0300006866455,31.3899993896484,31.75,33.0900001525879,35.0200004577637,35.9599990844727,36.8400001525879,35.764835357666
Austria,AUT,13.0799999237061,13.460000038147,14.25,14.7956075668335,15.3599996566772,15.9696025848389,16.605094909668,,
Azerbaijan,AZE,15.6899995803833,15.7399997711182,15.7200002670288,15.7299995422363,15.7200002670288,,16.2499160766602,17.6716747283936,17.6700000762939
Burundi,BDI,,,0.910000026226044,,,,,,
Belgium,BEL,31.7099990844727,32.1699981689453,34.689998626709,35.2702827453613,35.2999992370605,36.6534843444824,38.5315399169922,39.385196685791,
Benin,BEN,,,2.53311991691589,0.0,3.54480004310608,,3.06135010719299,4.79155015945435,
Burkina Faso,BFA,,,,2.15000009536743,2.11959004402161,,2.40341997146606,1.9884124994278,2.29087615013123
Bangladesh,BGD,8.23999977111816,8.51000022888184,8.97999954223633,9.35999965667725,9.76000022888184,,9.78999996185303,7.57236766815186,
Bulgaria,BGR,24.4699993133545,24.6299991607666,24.7099990844727,25.113618850708,25.1552085876465,26.0499992370605,26.2697563171387,26.3977317810059,
Bahrain,BHR,,14.2799997329712,14.3400001525879,21.6100006103516,,23.3299999237061,,29.7800006866455,29.5799999237061
Bosnia and Herzegovina,BIH,7.55000019073486,8.38000011444092,7.18639755249023,7.75,6.99687480926514,10.5900001525879,11.7022619247437,12.289999961853,11.276029586792
Belarus,BLR,,,,,28.2999992370605,,,,
Belize,BLZ,2.56925010681152,,,,6.68530750274658,7.88000011444092,4.44977998733521,,
Bermuda,BMU,,31.1100006103516,,,,,,,
Bolivia,BOL,22.3299999237061,13.4819030761719,14.1513919830322,14.3088550567627,24.7000007629395,26.8199996948242,16.2906856536865,16.893159866333,17.8769969940186
Brazil,BRA,,15.3500003814697,15.7299995422363,16.5400009155273,,,,,
Brunei Darussalam,BRN,,,13.9772520065308,14.3216934204102,17.4602642059326,15.4780359268188,15.9185581207275,17.5747013092041,
Bhutan,BTN,,,10.1999998092651,,,,,,
Botswana,BWA,,,,,8.1895227432251,8.33574199676514,8.84055423736572,9.51717185974121,9.64603805541992
Central African Republic,CAF,,,,,1.81203997135162,,,,
Canada,CAN,26.577808380127,25.75,27.9425659179688,28.5200099945068,29.7712154388428,30.970832824707,29.3299999237061,32.3500862121582,32.88818359375
Switzerland,CHE,35.4598159790039,36.604320526123,37.8640937805176,38.9846878051758,39.5556106567383,40.4104690551758,40.1155204772949,40.0153961181641,41.2647743225098
Chile,CHL,13.1000003814697,13.9364814758301,14.6400003433228,15.5733489990234,15.9265537261963,19.1351909637451,19.6066036224365,20.2825660705566,21.5449905395508
China,CHN,,,,,,7.67999982833862,,,
Cote d'Ivoire,CIV,,3.45458006858826,,,5.22612524032593,,4.98000001907349,4.76513671875,
Cameroon,CMR,,,,6.42238998413086,,,,,
"Congo, Dem. Rep.",COD,,3.48000001907349,,7.4141697883606,,,,,
"Congo, Rep.",COG,7.82301998138428,,,,,,,,
Colombia,COL,10.3000001907349,10.8999996185303,,11.7600002288818,12.0699996948242,12.8500003814697,,16.20046043396,16.4727363586426
Comoros,COM,,,,,,,3.31192517280579,14.056170463562,
Cabo Verde,CPV,6.92999982833862,,,,,,,,
Costa Rica,CRI,21.2999992370605,20.6299991607666,,21.3099994659424,,21.6100006103516,,,
Cuba,CUB,,,,,15.3287696838379,,,,
Curacao,CUW,,,,21.9363098144531,,30.1700000762939,,,
Cayman Islands,CYM,29.8600006103516,,,,,,,,
Cyprus,CYP,25.5499992370605,26.6200008392334,27.1771392822266,28.5599994659424,28.8715553283691,29.7999992370605,31.7849750518799,33.1645622253418,
Czechia,CZE,19.3400001525879,20.0799999237061,20.7299995422363,21.0019187927246,20.9099998474121,21.3851680755615,22.8479957580566,20.9734058380127,
Germany,DEU,24.7399997711182,25.5799999237061,25.8552474975586,25.1499996185303,27.0112819671631,28.3500003814697,29.0407466888428,29.2060985565186,
Djibouti,DJI,,,7.0643367767334,,,,,,
Dominica,DMA,,,,,,,6.83760023117065,,
Denmark,DNK,30.3799991607666,30.9799995422363,29.7281112670898,32.3600006103516,31.120885848999,33.0900001525879,32.452018737793,32.7245712280273,
Dominican Republic,DOM,11.742317199707,18.1200008392334,11.7243194580078,12.7266597747803,14.3608598709106,12.8589019775391,12.9000816345215,17.6953067779541,18.7137393951416
Algeria,DZA,,,,,11.4359302520752,,,,
Ecuador,ECU,12.0799999237061,11.7200002670288,12.1599998474121,,,11.9399995803833,12.3999996185303,12.1300001144409,
"Egypt, Arab Rep.",EGY,,,6.17000007629395,,,0.0,0.0,,
Spain,ESP,20.4723052978516,20.9400005340576,21.4282608032227,21.9400005340576,23.0202732086182,23.5799999237061,24.6002025604248,24.706615447998,
