Country Name,Country Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Egypt, Arab Rep.",EGY,13.052,12.45,11.767,9.855,7.851,7.974,7.441,7.344,7.334
Euro area,EMU,10.8852194826771,10.0364611752646,9.07353382127944,8.16092484825284,7.52006174791197,7.83001752658849,7.72209813329502,6.74901273938354,6.5646094180748
Eritrea,ERI,5.541,5.554,5.577,5.511,5.552,6.088,6.177,5.695,5.586
Spain,ESP,22.057,19.635,17.224,15.255,14.104,15.532,14.781,12.917,12.179
Estonia,EST,6.412,6.882,5.807,5.412,4.514,6.956,6.178,5.571,6.378
Ethiopia,ETH,2.443,2.554,2.662,2.802,2.917,3.994,3.935,3.409,3.402
European Union,EUU,10.0201862137305,9.10968305462766,8.1361540581006,7.25621058383303,6.68649109760781,7.04821860006322,7.01183843029148,6.14302856971608,6.02944529696582
Fragile and conflict affected situations,FCS,5.47064138133532,5.61701548557091,5.83065194153996,5.82973963441826,5.87910736649221,6.65180755643263,6.77761944075494,5.60917621194441,5.20087833966654
Finland,FIN,9.376,8.818,8.64,7.361,6.695,7.759,7.617,6.719,7.151
Fiji,FJI,4.291,4.319,4.324,4.335,4.373,4.649,4.701,4.446,4.322
France,FRA,10.354,10.057,9.409,9.018,8.415,8.009,7.874,7.308,7.335
Gabon,GAB,19.978,20.134,20.303,20.439,20.358,21.27,21.218,20.399,20.278
United Kingdom,GBR,5.517,4.867,4.452,4.12,3.613,4.472,4.826,3.73,3.984
Georgia,GEO,16.506,16.604,13.939,12.667,11.565,11.73,11.791,11.647,11.537
Ghana,GHA,6.806,5.232,3.369,3.253,3.16,3.313,3.384,3.084,3.063
Guinea,GIN,5.224,5.013,4.826,4.787,5.018,6.018,5.827,5.267,5.244
"Gambia, The",GMB,7.26,6.285,5.157,4.127,4.538,5.892,6.269,6.076,6.479
Guinea-Bissau,GNB,3.157,3.123,3.066,3.127,2.413,2.89,3.031,2.666,2.65
Equatorial Guinea,GNQ,7.95,7.962,8.004,7.967,8.064,8.781,8.976,8.455,8.367
Greece,GRC,24.981,23.514,21.413,19.179,17.045,15.899,14.656,12.426,11.066
Guatemala,GTM,2.506,2.583,2.462,2.283,2.193,2.955,2.174,3.051,2.344
Guam,GUM,6.9,5.4,5.418,5.449,5.401,6.248,5.991,5.454,5.363
Guyana,GUY,13.004,13.257,13.462,13.627,13.172,15.334,14.557,12.013,12.025
High income,HIC,6.54313754898565,6.1023115944233,5.57255492117066,5.07062826095132,4.74230573414225,6.42528049057761,5.52627993407203,4.47915987611736,4.32742379174678
"Hong Kong SAR, China",HKG,3.314,3.392,3.124,2.805,2.917,5.808,5.174,4.318,2.949
Honduras,HND,6.147,6.727,5.528,5.648,5.698,10.982,8.506,8.774,6.07
Heavily indebted poor countries (HIPC),HPC,4.42867097391046,4.37144771498706,4.38423696813415,4.3509884503825,4.35891138556294,5.08466986799381,4.99025451599025,4.44664203690213,4.22661765181006
Croatia,HRV,16.175,13.103,11.208,8.432,6.617,7.507,7.608,6.96,6.086
Haiti,HTI,13.724,13.852,13.881,13.878,14.057,15.546,15.28,14.635,14.556
Hungary,HUN,6.813,5.115,4.156,3.708,3.419,4.25,4.045,3.609,4.107
IBRD only,IBD,6.31504463155657,6.42563161685031,6.40287394664439,6.29423565288986,6.08061330115891,6.97165272530513,6.33890972820408,5.60153415826182,5.16481549355938
IDA & IBRD total,IBT,5.90593917178313,5.9656762543311,5.98894655735445,5.92439685213894,5.78291780985394,6.64349161891375,6.17168860176086,5.42390521920667,5.03559497830806
IDA total,IDA,4.44600881534174,4.34425658266458,4.55218158153548,4.66056541533335,4.78267538138002,5.57685316149891,5.63088102209667,4.86219567527372,4.6258035699256
IDA blend,IDB,4.0689432554606,3.81818090299001,4.40074784684901,4.84749926503425,5.20102075138375,6.00035968627457,5.98291664974636,4.93203945664766,4.51808369615567
Indonesia,IDN,4.514,4.301,3.783,4.387,3.59,4.255,3.827,3.462,3.308
IDA only,IDX,4.64401561911986,4.62072484912705,4.63129659471406,4.56356857145765,4.56547551945594,5.35492848170194,5.44549655001938,4.82557394978687,4.68393546436256
India,IND,7.631,7.601,7.618,7.652,6.51,7.859,6.38,4.822,4.172
Ireland,IRL,9.908,8.374,6.713,5.741,4.95,5.623,6.364,4.501,4.288
"Iran, Islamic Rep.",IRN,11.166,12.618,12.232,12.195,10.74,9.687,9.282,9.085,9.041
Iraq,IRQ,10.842,10.82,13.02,13.49,14.109,15.778,16.173,15.511,15.447
Iceland,ISL,3.979,2.978,2.742,2.704,3.507,5.478,6.029,3.789,3.518
Israel,ISR,5.176,4.723,4.14,3.917,3.731,4.169,4.812,3.695,3.596
Italy,ITA,11.896,11.688,11.211,10.61,9.951,9.164,9.497,8.069,7.627
Jamaica,JAM,8.825,8.634,7.399,5.47,4.987,6.501,5.188,4.083,4.4
Jordan,JOR,13.075,15.275,18.12,18.257,16.801,19.213,19.837,18.2,17.969
Japan,JPN,3.385,3.132,2.822,2.467,2.351,2.809,2.828,2.6,2.6
Kazakhstan,KAZ,4.93,4.96,4.9,4.85,4.8,4.89,5.546,4.86,4.821
Kenya,KEN,2.762,2.757,3.541,4.284,5.014,5.619,5.693,5.707,5.567
Kyrgyz Republic,KGZ,3.338,3.474,3.57,3.67,4.295,4.63,4.096,4.043,3.991
Cambodia,KHM,0.393,0.716,0.141,0.13,0.119,0.172,0.396,0.231,0.225
"Korea, Rep.",KOR,3.546,3.65,3.653,3.824,3.746,3.931,3.639,2.857,2.675
Kuwait,KWT,2.2,2.16,2.227,2.204,2.251,3.557,3.002,2.174,2.127
Latin America & Caribbean (excluding high income),LAC,6.69224523331841,7.89208553630397,8.21313906908208,8.07033178581621,8.11517433962502,10.2741273901423,9.23355868723715,6.90218174932878,6.11953093081959
Lao PDR,LAO,2.494,2.881,3.268,2.9,2.537,2.361,2.066,1.209,1.188
Lebanon,LBN,9.306,9.786,10.251,10.745,11.301,13.284,12.669,11.6,11.543
Liberia,LBR,2.557,3.081,3.066,3.056,3.068,4.109,3.845,2.977,2.933
Libya,LBY,19.676,19.522,19.02,18.836,19.05,19.613,19.641,19.282,18.753
St. Lucia,LCA,20.858,19.933,19.136,19.329,15.613,25.224,20.514,15.934,11.092
Latin America & Caribbean,LCN,6.66835528355285,7.72950812252869,8.02872636932909,7.93233089575174,8.00039639339806,10.2142816414883,9.15752048997139,6.91530046339274,6.20743027327999
Least developed countries: UN classification,LDC,4.83938455097352,4.90683769238846,4.96947310302949,4.8870235507301,4.88614655379023,5.63912879862034,5.75302416584841,5.08844456845939,4.94642314711997
Low income,LIC,4.86329466984677,4.96460707270764,5.05750451691876,4.97554452810785,4.99494314733493,5.68731646365826,5.70873263357671,5.07394035163588,4.9067296311379
Sri Lanka,LKA,4.519,4.242,4.046,4.318,4.67,5.364,4.981,4.528,5.997
Lower middle income,LMC,6.14822585838289,6.03309865819284,6.12168566458668,6.11409397114733,5.62039668810011,6.66380926217302,6.0122012019493,4.8436880217257,4.4022140714888
Low & middle income,LMY,5.8680807201473,5.94980345886318,5.99678702133241,5.94758218404823,5.81381616292644,6.6515900324549,6.19361989007564,5.45251358879628,5.05976552198271
Lesotho,LSO,16.254,16.17,16.401,16.625,16.876,18.399,18.23,16.688,16.457
Late-demographic dividend,LTE,5.10020518821698,5.26933984483668,5.26018396626271,5.03962485623598,5.185075164245,5.9184077587943,5.49510544394083,5.1827288093095,4.80560627805011
Lithuania,LTU,9.12,7.862,7.073,6.147,6.255,8.487,7.112,5.955,6.841
Luxembourg,LUX,6.796,6.669,5.523,5.589,5.592,6.766,5.571,4.588,5.184
Latvia,LVA,9.873,9.643,8.715,7.412,6.312,8.098,7.513,6.815,6.465
"Macao SAR, China",MAC,1.81,1.939,1.987,1.834,1.749,2.566,2.229,2.482,2.235
Morocco,MAR,9.46,9.3,9.223,9.271,9.194,11.223,10.576,9.494,9.044
Moldova,MDA,1.742,1.557,1.586,1.196,1.466,1.186,0.785,0.897,1.555
Madagascar,MDG,1.785,1.947,2.119,2.297,2.469,3.284,3.487,3.186,3.069
Maldives,MDV,6.604,5.771,5.401,4.95,4.562,5.434,5.024,4.419,4.241
Middle East & North Africa,MEA,10.6419856021044,10.6970069360405,10.8782866566393,10.5036929963006,9.86675350055065,10.6169996140398,10.2348915008261,9.59898977494279,9.12057231205856
Mexico,MEX,4.311,3.853,3.419,3.275,3.477,4.44,4.019,3.256,2.765
Middle income,MIC,5.95785948844532,6.03867353190609,6.08241674326591,6.03767380152027,5.89092200068711,6.74459124688732,6.24057366273373,5.49003888963743,5.07451236816572
North Macedonia,MKD,26.395,24.312,22.857,21.208,17.414,16.575,15.801,14.476,13.174
Mali,MLI,1.401,1.367,1.494,1.62,3.29,3.528,3.966,2.387,2.956
Malta,MLT,5.389,4.687,4.002,3.658,3.616,4.347,3.394,2.921,3.11
Myanmar,MMR,0.766,1.058,1.356,0.767,0.407,1.476,4.34,3.057,3.032
Middle East & North Africa (excluding high income),MNA,12.4017308339049,12.556017297494,12.7533116885525,12.2901292184688,11.5250546310595,12.1031227262636,11.7584549541875,11.1820203083755,10.8670875152924
Montenegro,MNE,17.555,17.732,16.082,15.19,15.128,17.878,16.543,14.851,14.621
Mongolia,MNG,4.861,7.235,6.359,5.377,9.269,6.594,7.747,6.211,5.503
Mozambique,MOZ,3.426,3.457,3.539,3.604,3.646,3.921,4.053,3.596,3.519
Mauritania,MRT,10.108,10.283,10.336,10.407,10.416,11.054,11.144,10.531,10.446
Mauritius,MUS,7.41,6.814,6.752,6.426,6.331,8.626,7.719,6.322,5.571
Malawi,MWI,4.954,5.007,5.039,5.014,4.966,5.728,5.662,5.037,5.033
Malaysia,MYS,3.1,3.44,3.41,3.3,3.26,4.54,4.64,3.93,3.869
North America,NAC,5.46118094681104,5.10423603490588,4.58063287231783,4.10818783801368,3.89170553373765,8.23062385811362,5.59214283036202,3.83340806531303,3.84181538522376
Namibia,NAM,20.808,23.352,21.733,19.877,19.921,21.004,20.922,19.695,19.365
New Caledonia,NCL,13.637,12.714,11.676,11.702,10.88,13.558,11.54,10.71,10.939
Niger,NER,0.553,0.548,0.554,0.535,0.531,0.594,0.78,0.418,0.425
Nigeria,NGA,4.135,4.499,4.828,5.067,5.206,5.742,5.45,3.821,3.074
Nicaragua,NIC,4.7,3.9,3.3,5.2,5.472,6.201,6.118,4.961,4.716
Netherlands,NLD,6.872,6.007,4.837,3.832,3.379,3.82,4.209,3.526,3.537
Norway,NOR,4.296,4.68,4.164,3.801,3.684,4.424,4.359,3.231,3.572
Nepal,NPL,10.644,10.742,10.66,10.559,10.389,12.975,12.186,10.844,10.628
New Zealand,NZL,5.415,5.147,4.736,4.335,4.109,4.595,3.776,3.297,3.729
OECD members,OED,6.85865110620312,6.43577834443714,5.91905932855463,5.47945204421387,5.39053209806899,7.14864258016648,6.19286372183563,4.98675187674652,4.82832486149894
Oman,OMN,3.401,3.266,2.522,1.8,2.04,2.94,1.9,3.3,3.176
Other small states,OSS,8.78523372997352,8.49858732832695,8.07615443502866,7.66956307053111,7.34330990802156,8.82670669777015,8.36606234826282,7.76505567159181,7.41013147956157
Pakistan,PAK,3.566,2.285,3.215,4.083,4.83,6.127,6.338,5.485,5.408
Panama,PAN,4.335,4.717,5.338,5.161,6.256,14.663,10.177,8.086,6.544
Peru,PER,3.272,3.741,3.691,3.492,3.379,7.179,5.097,3.85,4.899
Philippines,PHL,3.068,2.695,2.552,2.338,2.237,2.522,3.398,2.598,2.222
Papua New Guinea,PNG,2.503,2.472,2.569,2.635,2.634,2.883,3.003,2.689,2.661
Poland,POL,7.475,6.141,4.867,3.835,3.267,3.155,3.268,2.811,2.743
Pre-demographic dividend,PRE,4.93719170079883,5.02089106580963,5.28460931909098,5.35138602677923,5.42309463719319,5.96007768628016,5.82347555930522,5.002037370392,4.7006079328224
Puerto Rico,PRI,12.0,11.8,10.8,9.2,8.3,8.89,7.9,6.0,5.725
"Korea, Dem. People's Rep.",PRK,2.896,2.931,2.846,2.757,2.782,2.948,3.0,2.805,2.831
Portugal,PRT,12.447,11.068,8.869,6.994,6.464,6.801,6.577,6.011,6.509
Paraguay,PRY,4.556,5.255,6.138,6.217,6.595,7.548,7.311,6.755,5.794
West Bank and Gaza,PSE,23.005,23.939,25.677,26.256,25.34,25.895,26.39,24.42,
Pacific island small states,PSS,3.38209145071285,3.37055657306124,3.36772015164207,3.27563360735952,3.21394324925117,3.17937127710219,3.18377728754444,3.26376412674194,3.18108550777285
Post-demographic dividend,PST,6.88732464298699,6.41371126806,5.85285687668993,5.29998778603629,4.94291577083014,6.72608805636322,5.80308030334844,4.51627598749287,4.46875629524005
French Polynesia,PYF,11.789,11.715,11.573,11.572,11.565,12.951,12.531,11.888,11.749
Qatar,QAT,0.17,0.15,0.14,0.11,0.1,0.14,0.14,0.13,0.13
Romania,ROU,6.812,5.901,4.927,4.187,3.912,5.035,5.59,5.614,5.589
Russian Federation,RUS,5.615,5.591,5.238,4.871,4.513,5.62,4.749,3.867,3.076
Rwanda,RWA,11.838,11.801,11.875,10.759,11.236,11.829,15.775,15.084,12.352
South Asia,SAS,6.90755040475197,6.76215422479501,6.87856489772945,6.9988724648697,6.20782246480721,7.50644145337956,6.38900638352055,5.04134225042857,4.53316078699426
Saudi Arabia,SAU,5.6,5.6,5.89,6.029,5.636,7.66,6.621,5.589,4.008
Sudan,SDN,14.347,13.606,12.953,12.303,11.658,11.958,11.044,7.53,
Senegal,SEN,6.757,4.455,4.078,3.455,2.863,3.437,3.44,2.837,2.8
Singapore,SGP,3.79,4.08,4.2,3.613,3.1,4.1,4.64,3.591,3.444
Solomon Islands,SLB,0.735,0.734,0.725,0.72,0.743,0.864,0.884,1.483,1.455
Sierra Leone,SLE,4.606,4.294,3.834,3.192,3.203,3.508,3.556,3.175,3.153
El Salvador,SLV,3.998,4.418,4.385,4.006,4.17,5.008,4.327,2.999,2.992
Somalia,SOM,18.597,18.578,18.523,18.738,18.828,19.413,19.662,19.05,18.941
Serbia,SRB,17.66,15.257,13.477,12.733,10.395,9.011,9.843,8.439,8.268
Sub-Saharan Africa (excluding high income),SSA,5.85502520009926,5.94167376890049,6.07750640915143,6.10632797505626,6.2679212107601,6.803309525677,6.9876633959167,6.19801853183662,5.88775361694401
South Sudan,SSD,12.485,12.955,13.111,12.952,12.709,14.319,14.029,12.545,12.477
Sub-Saharan Africa,SSF,5.85502520009926,5.94167376890049,6.07750640915143,6.10632797505626,6.2679212107601,6.803309525677,6.9876633959167,6.19801853183662,5.88775361694401
Small states,SST,8.57328851446373,8.35743471426821,7.95839164590901,7.68329154788694,7.36778798685856,8.76921579076571,8.32665127077856,7.63719827053479,7.24829729410406
Sao Tome and Principe,STP,10.594,9.686,8.808,8.714,8.831,9.686,9.6,8.992,9.071
Suriname,SUR,7.22,7.917,7.888,7.693,7.556,8.76,8.491,8.16,7.631
Slovak Republic,SVK,11.492,9.679,8.142,6.544,5.761,6.719,6.894,6.143,5.84
Slovenia,SVN,8.962,8.0,6.564,5.108,4.446,4.971,4.744,4.011,3.652
Sweden,SWE,7.432,6.99,6.718,6.365,6.833,8.291,8.722,7.392,7.611
Eswatini,SWZ,23.285,22.718,24.523,26.369,28.138,32.944,34.153,35.359,35.086
Syrian Arab Republic,SYR,14.243,13.795,13.597,13.497,13.36,15.191,14.877,13.268,13.187
Chad,TCD,0.974,1.047,1.116,1.135,1.084,1.707,1.548,1.096,1.074
East Asia & Pacific (IDA & IBRD countries),TEA,4.13498800489396,4.05094529389803,3.9281651171289,3.8185338900756,3.91055814607334,4.38272643965065,4.13976979107785,4.24554875686716,3.99023937769226
Europe & Central Asia (IDA & IBRD countries),TEC,7.64210348176057,7.47526827082234,7.12553159533485,6.68602119949787,6.74057982241333,7.23741604434341,6.8319668511332,5.68431126209161,5.16074258293559
Togo,TGO,2.204,2.968,3.744,2.898,2.036,2.225,2.333,1.965,1.948
Thailand,THA,0.597,0.688,0.83,0.765,0.716,1.099,1.215,0.94,0.733
Tajikistan,TJK,11.485,11.5,11.487,11.437,11.419,12.321,12.333,11.634,11.546
Turkmenistan,TKM,4.016,4.031,4.044,4.044,4.043,4.501,4.459,4.109,4.099
Latin America & the Caribbean (IDA & IBRD countries),TLA,6.71903446791338,7.8113657547411,8.12755696513525,8.03324720484733,8.10424349109533,10.3522494542699,9.27350464000943,6.99769011843402,6.27705803055615
Timor-Leste,TLS,3.678,4.657,4.248,3.778,3.097,2.782,2.344,1.537,1.521
Middle East & North Africa (IDA & IBRD countries),TMN,12.2953909899345,12.4417079696535,12.6211399238132,12.1467211648243,11.3782438782609,11.9610860736542,11.5984181323461,11.0310304277689,10.8670875152924
Tonga,TON,2.024,2.046,2.131,2.248,2.157,2.699,2.111,2.302,2.262
South Asia (IDA & IBRD),TSA,6.90755040475197,6.76215422479501,6.87856489772945,6.9988724648697,6.20782246480721,7.50644145337956,6.38900638352055,5.04134225042857,4.53316078699426
Sub-Saharan Africa (IDA & IBRD countries),TSS,5.85502520009926,5.94167376890049,6.07750640915143,6.10632797505626,6.2679212107601,6.803309525677,6.9876633959167,6.19801853183662,5.88775361694401
Trinidad and Tobago,TTO,2.428,3.207,3.394,3.498,3.523,4.206,4.446,4.383,4.21
Tunisia,TUN,15.159,15.557,15.33,15.459,17.153,17.656,16.611,15.3,15.106
Turkiye,TUR,10.304,10.899,10.919,10.956,13.73,13.148,11.969,10.465,9.388
Tanzania,TZA,2.159,2.23,2.303,2.393,2.496,2.781,2.821,2.588,2.582
Uganda,UGA,2.679,3.008,3.428,3.25,3.06,3.831,3.422,2.886,2.787
Ukraine,UKR,9.14,9.35,9.5,8.799,8.194,9.475,9.834,,
Upper middle income,UMC,5.80943885452003,6.04307137925769,6.0511193355803,5.97611834945761,6.11106892294072,6.81216964139814,6.43315019951925,6.05837753228876,5.67666999727191
Uruguay,URY,7.488,7.841,7.89,8.336,8.836,10.413,9.328,7.877,8.355
United States,USA,5.28,4.869,4.355,3.896,3.669,8.055,5.349,3.65,3.638
Uzbekistan,UZB,5.15,5.16,5.83,5.389,4.932,5.293,5.364,4.49,4.46
St. Vincent and the Grenadines,VCT,19.141,19.028,19.006,18.984,19.235,20.636,20.341,19.417,18.574
"Venezuela, RB",VEN,6.137,5.319,5.045,5.46,5.876,7.53,7.037,5.707,5.485
Virgin Islands (U.S.),VIR,12.422,12.515,12.217,12.407,12.551,15.191,14.273,13.007,12.32
Viet Nam,VNM,1.848,1.848,1.874,1.161,1.681,2.103,2.385,1.523,1.645
Vanuatu,VUT,5.254,5.261,5.287,5.326,5.444,4.046,4.766,5.143,5.082
World,WLD,6.00655926883703,5.97827384301346,5.90723141254145,5.76898308254956,5.59893079520961,6.60880501698705,6.06444597897447,5.26071088886287,4.91657221632923
Samoa,WSM,8.9,9.062,9.4,8.639,7.838,7.435,6.612,5.048,4.977
"Yemen, Rep.",YEM,17.9,18.416,18.603,17.584,17.202,17.953,18.287,17.363,17.091
South Africa,ZAF,25.149,26.536,27.035,26.906,28.468,29.217,34.007,33.268,32.098
Zambia,ZMB,5.942,5.239,4.529,5.033,5.542,6.033,5.199,5.995,5.905
Zimbabwe,ZWE,5.377,5.886,6.344,6.793,7.373,8.621,9.54,10.087,8.759
