Country,Year,GDP_per_capita
tanzania,2015,939.127319335938
uganda,2015,862.934610355811
ukraine,2015,2094.47387695313
uruguay,2015,17125.9016800298
united states,2015,57040.2082136605
uzbekistan,2015,2803.19018021751
st. vincent and the grenadines,2015,7353.73556054184
virgin islands (u.s.),2015,34007.3529411765
viet nam,2015,2577.56885340113
vanuatu,2015,2746.59171880997
samoa,2015,4084.36083819933
kosovo,2015,3520.62850699375
"yemen, rep.",2015,1362.17379435676
south africa,2015,6112.27382485974
zambia,2015,1295.87788680068
zimbabwe,2015,1386.42284717709
aruba,2016,27441.5296617282
africa eastern and southern,2016,1329.77782375583
afghanistan,2016,522.082215583898
africa western and central,2016,1616.84319800249
angola,2016,1807.95294072643
albania,2016,4124.05538986272
andorra,2016,40129.8192007698
united arab emirates,2016,41326.4018161834
argentina,2016,12699.9623137756
armenia,2016,3524.42476874707
american samoa,2016,12843.3342903627
antigua and barbuda,2016,16557.843174789
australia,2016,49888.0410842736
austria,2016,45061.4993920192
azerbaijan,2016,3880.6852276838
burundi,2016,235.286205393908
belgium,2016,41854.5498296444
benin,2016,1010.53389609187
burkina faso,2016,663.742364842886
bangladesh,2016,1649.28380858601
bulgaria,2016,7570.93165511708
bahrain,2016,23800.001440631
"bahamas, the",2016,30266.5859220987
bosnia and herzegovina,2016,4928.5665251728
belarus,2016,5039.77560949445
belize,2016,6142.49873185177
bermuda,2016,108747.356144305
bolivia,2016,3035.8734778704
brazil,2016,8836.28652636996
barbados,2016,19065.8069800213
brunei darussalam,2016,26663.2973199878
bhutan,2016,3152.30905081592
botswana,2016,6749.05994339013
central african republic,2016,387.176203444318
canada,2016,42314.0615817218
central europe and the baltics,2016,12836.5666338962
switzerland,2016,82153.0745447889
channel islands,2016,55950.1485360363
chile,2016,13649.8520455553
china,2016,8094.39016735149
cote d'ivoire,2016,1862.59597081287
cameroon,2016,1441.7201725688
"congo, dem. rep.",2016,442.310472110228
"congo, rep.",2016,2093.10728558843
colombia,2016,5959.84250367574
comoros,2016,1365.48403444497
cabo verde,2016,3608.96606551232
costa rica,2016,12091.0301606154
cuba,2016,8110.55873961397
curacao,2016,18944.0961493998
cayman islands,2016,77802.2541567187
cyprus,2016,24715.154296875
czechia,2016,18753.9686718096
germany,2016,42961.0356905775
djibouti,2016,2510.4300076241
dominica,2016,8278.44768597003
denmark,2016,54500.9260410217
dominican republic,2016,7174.82349574
algeria,2016,4424.98529027556
east asia & pacific,2016,9832.13036290931
ecuador,2016,5917.63771271481
"egypt, arab rep.",2016,3270.6287768197
spain,2016,26740.6851818829
estonia,2016,18666.3736521706
ethiopia,2016,696.195884706786
finland,2016,43451.2562442158
fiji,2016,5363.79025590254
france,2016,37024.2157133669
faroe islands,2016,56875.2803813296
"micronesia, fed. sts.",2016,2979.60119184048
gabon,2016,6677.07003901644
united kingdom,2016,40985.2351382417
georgia,2016,4143.40125686315
ghana,2016,1913.18673253576
guinea,2016,711.996509782316
"gambia, the",2016,650.056501323611
guinea-bissau,2016,679.665386626818
equatorial guinea,2016,7453.19797948517
greece,2016,17919.2426377048
grenada,2016,9221.23461079424
greenland,2016,48181.7453541266
guatemala,2016,4060.13755621218
guam,2016,35930.6594898711
guyana,2016,5870.87823759835
"hong kong sar, china",2016,43734.1980702999
honduras,2016,2307.34468351082
croatia,2016,12821.1738140304
haiti,2016,1318.40268167953
hungary,2016,13104.6995457458
indonesia,2016,3521.46943456251
isle of man,2016,82025.9454509241
india,2016,1707.50892912243
ireland,2016,64292.659966313
"iran, islamic rep.",2016,5477.03712389913
iraq,2016,4334.42096404188
iceland,2016,61987.9263620283
israel,2016,37556.6272863143
italy,2016,31126.3246947273
jamaica,2016,5009.79450059092
jordan,2016,3986.71677010853
japan,2016,39375.4731620781
kazakhstan,2016,7475.56688689424
kenya,2016,1554.12610314423
kyrgyz republic,2016,1103.27498361324
cambodia,2016,1675.19555711109
kiribati,2016,1742.66812442095
st. kitts and nevis,2016,21387.5415511103
"korea, rep.",2016,29280.4403170048
kuwait,2016,27323.6890643847
lao pdr,2016,2303.22156035363
lebanon,2016,8089.012088155
liberia,2016,714.613063145659
libya,2016,7525.80299308216
st. lucia,2016,10638.1901982143
least developed countries: un classification,2016,958.174398065087
liechtenstein,2016,165375.491396259
sri lanka,2016,4149.76105454457
lesotho,2016,992.491840678465
lithuania,2016,14981.6208126311
luxembourg,2016,106899.293549552
latvia,2016,13838.5266823272
"macao sar, china",2016,69074.0363049212
st. martin (french part),2016,
morocco,2016,3140.85546875
monaco,2016,173604.753555915
moldova,2016,2847.08794770479
madagascar,2016,453.970714522463
maldives,2016,9947.80744731739
mexico,2016,9097.92397674769
marshall islands,2016,4229.80988911945
north macedonia,2016,5598.48622617967
mali,2016,730.85493818079
malta,2016,26409.6285858968
myanmar,2016,1229.19713515893
montenegro,2016,7033.43962398373
mongolia,2016,3619.90026383792
northern mariana islands,2016,24225.474169342
mozambique,2016,441.489734819071
mauritania,2016,1565.76575722696
mauritius,2016,9965.72531085228
malawi,2016,450.506105510719
malaysia,2016,9476.53409809923
north america,2016,56618.0479576143
namibia,2016,4395.68776162376
new caledonia,2016,30782.8544433514
niger,2016,502.706475406446
nigeria,2016,2070.4127339595
nicaragua,2016,2131.68828465802
netherlands,2016,46808.5291492503
norway,2016,70867.3609970749
nepal,2016,877.256454696737
nauru,2016,8724.30700255019
new zealand,2016,40070.8956577431
oman,2016,17110.1897460545
pakistan,2016,1424.69161195897
panama,2016,14832.3611608191
peru,2016,6217.03599995447
philippines,2016,2985.19564020101
palau,2016,16762.5723436534
papua new guinea,2016,2316.39479758492
poland,2016,12464.0110508476
puerto rico,2016,30627.1634017011
portugal,2016,19980.2808866516
paraguay,2016,5775.1596339946
west bank and gaza,2016,3527.61382413178
french polynesia,2016,19690.0775734589
qatar,2016,61253.6375482797
romania,2016,9404.54005870715
russian federation,2016,8663.158203125
rwanda,2016,729.519154199595
south asia,2016,1663.62030739425
saudi arabia,2016,21515.6600083775
sudan,2016,1033.21594238281
senegal,2016,1266.43957151587
singapore,2016,56899.9181805173
solomon islands,2016,2082.62989047871
sierra leone,2016,838.631615328371
el salvador,2016,3901.34014965811
san marino,2016,44359.4797662688
somalia,2016,460.928491979039
serbia,2016,5982.37030126471
south sudan,2016,
sao tome and principe,2016,1434.87018050521
suriname,2016,5644.2061057532
slovak republic,2016,16636.0769133073
slovenia,2016,21447.8377796036
sweden,2016,51820.3972482676
eswatini,2016,3223.92004062357
sint maarten (dutch part),2016,37308.6147795736
seychelles,2016,16566.9946042294
syrian arab republic,2016,656.3490586313
turks and caicos islands,2016,26946.4178520162
chad,2016,668.078636142918
togo,2016,772.581787093976
thailand,2016,5833.57715617098
tajikistan,2016,788.710481734485
turkmenistan,2016,5686.98040962764
timor-leste,2016,1335.54390089814
tonga,2016,3987.98626206287
tunisia,2016,3847.80354448809
turkiye,2016,10970.0458948862
tuvalu,2016,3808.69755015909
tanzania,2016,953.0107421875
uganda,2016,752.696571725656
ukraine,2016,2158.46118164063
uruguay,2016,17009.7586944503
united states,2016,58206.6141931844
uzbekistan,2016,2753.37951427589
st. vincent and the grenadines,2016,7656.90042881178
virgin islands (u.s.),2016,35324.9748874586
viet nam,2016,2735.0604380416
vanuatu,2016,2869.9996909076
samoa,2016,4147.07097674888
kosovo,2016,3759.44959067104
"yemen, rep.",2016,975.359406696353
south africa,2016,5651.20585165749
zambia,2016,1239.08527877713
zimbabwe,2016,1407.41536437554
aruba,2017,28440.051963759
africa eastern and southern,2017,1520.17129839287
afghanistan,2017,525.469770891619
africa western and central,2017,1560.16299864482
angola,2017,2437.25971190821
albania,2017,4531.03220675893
andorra,2017,40672.9943348258
united arab emirates,2017,42340.5917145576
argentina,2017,14532.5009308511
armenia,2017,3869.05373867752
american samoa,2017,11863.6839452565
antigua and barbuda,2017,16924.7894487758
australia,2017,53901.7145392154
austria,2017,47163.7425775142
azerbaijan,2017,4147.1981423222
burundi,2017,236.694472592753
belgium,2017,44035.3239358548
benin,2017,1054.97408141687
burkina faso,2017,709.091535894695
bangladesh,2017,1811.08221668646
bulgaria,2017,8381.88134621669
bahrain,2017,24784.7693514607
"bahamas, the",2017,31337.1832464755
bosnia and herzegovina,2017,5345.01985489192
belarus,2017,5785.53397723676
belize,2017,6072.58267640581
bermuda,2017,112339.425587467
bolivia,2017,3306.30301176558
brazil,2017,10080.5092817775
barbados,2017,19692.7606711615
brunei darussalam,2017,28024.3824618568
bhutan,2017,3435.28804814561
botswana,2017,7104.96401088027
central african republic,2017,432.324025684263
canada,2017,45129.628116623
central europe and the baltics,2017,14294.4470174706
switzerland,2017,82254.3769269767
channel islands,2017,55806.5709126142
chile,2017,14879.9086230423
china,2017,8817.04560829162
cote d'ivoire,2017,1964.29930338343
cameroon,2017,1496.08951771242
"congo, dem. rep.",2017,436.584534687385
"congo, rep.",2017,2211.63309874797
colombia,2017,6479.53231292429
comoros,2017,1423.9248027797
cabo verde,2017,3893.09572292025
costa rica,2017,12317.0902771304
cuba,2017,8610.60829531998
curacao,2017,18938.2440469703
cayman islands,2017,80053.9444506891
cyprus,2017,26696.990234375
czechia,2017,20913.197632212
germany,2017,45526.5999576533
djibouti,2017,2618.95521147369
dominica,2017,7614.34028048137
denmark,2017,57521.5514992225
dominican republic,2017,7499.69286187019
algeria,2017,4554.66753957828
east asia & pacific,2017,10428.6321782284
ecuador,2017,6233.32244797718
"egypt, arab rep.",2017,2395.10333299491
spain,2017,28367.9392609439
estonia,2017,20851.5223496861
ethiopia,2017,745.632449222154
finland,2017,46085.0174739036
fiji,2017,5826.84814087383
france,2017,38687.1626407164
faroe islands,2017,59384.9862077969
"micronesia, fed. sts.",2017,3279.10779039285
gabon,2017,6921.73373135624
united kingdom,2017,40572.1214823783
georgia,2017,4418.75206546679
ghana,2017,2012.97025750655
guinea,2017,833.598621691121
"gambia, the",2017,642.522641296331
guinea-bissau,2017,783.123186602022
equatorial guinea,2017,7809.10465655488
greece,2017,18631.9930129293
grenada,2017,9751.42661155932
greenland,2017,50765.7494665372
guatemala,2017,4324.99607911366
guam,2017,36779.0078903909
guyana,2017,6178.6650437298
"hong kong sar, china",2017,46160.429791493
honduras,2017,2413.0076562942
croatia,2017,13902.6310485422
haiti,2017,1395.23945184461
hungary,2017,14621.2395956755
indonesia,2017,3798.88326177649
isle of man,2017,83481.3038489014
india,2017,1950.10468280866
ireland,2017,72499.3268743015
"iran, islamic rep.",2017,5753.11544659399
iraq,2017,4759.2846435467
iceland,2017,72010.1490316258
israel,2017,40997.9110240274
italy,2017,32554.14668453
jamaica,2017,5259.31334136812
jordan,2017,4065.61628749384
japan,2017,38834.0529341227
kazakhstan,2017,8943.08416791984
kenya,2017,1667.48447230835
kyrgyz republic,2017,1221.39056490366
cambodia,2017,1826.35391688754
kiribati,2017,1853.0511299437
st. kitts and nevis,2017,22464.9899633959
"korea, rep.",2017,31600.7358741365
kuwait,2017,29047.6535822842
lao pdr,2017,2432.43059478511
lebanon,2017,8608.21084982387
liberia,2017,699.269095727404
libya,2017,9965.83236729757
st. lucia,2017,11333.1963940441
least developed countries: un classification,2017,1024.16282643038
liechtenstein,2017,170547.092298954
sri lanka,2017,4401.05567045499
lesotho,2017,1069.36673247542
lithuania,2017,16884.7100319318
luxembourg,2017,110193.213797228
latvia,2017,15132.4958333982
"macao sar, china",2017,77704.9215312666
st. martin (french part),2017,
morocco,2017,3296.52661132813
monaco,2017,170663.375247872
moldova,2017,3453.26727720294
madagascar,2017,491.866848718929
maldives,2017,10509.628805812
mexico,2017,9649.27816772402
marshall islands,2017,4592.83457628576
north macedonia,2017,5955.2973863451
mali,2017,775.536492065709
malta,2017,30259.3952629768
myanmar,2017,1272.82241830603
montenegro,2017,7803.35824465203
mongolia,2017,3645.96708669551
northern mariana islands,2017,31225.6049960968
mozambique,2017,470.93856305196
mauritania,2017,1615.00401327323
mauritius,2017,10841.6847754844
malawi,2017,495.769683367165
malaysia,2017,9862.54806612235
north america,2017,58796.5168500385
namibia,2017,5143.96072323076
new caledonia,2017,32354.7102832901
niger,2017,521.804130023434
nigeria,2017,1876.34027111773
nicaragua,2017,2182.61875100395
netherlands,2017,49513.6817346384
norway,2017,76131.8384032764
nepal,2017,1034.28374906846
nauru,2017,9613.41209082575
new zealand,2017,42913.186956185
oman,2017,17820.0661809335
pakistan,2017,1519.23459514248
panama,2017,15694.6297454295
peru,2017,6736.16693725487
philippines,2017,3038.12124955619
palau,2017,16034.1342914889
papua new guinea,2017,2477.76530986323
poland,2017,13913.3402919927
puerto rico,2017,31108.7527508912
portugal,2017,21442.3842768879
paraguay,2017,6152.26711537703
west bank and gaza,2017,3620.36048715937
french polynesia,2017,20826.9312492172
qatar,2017,63279.8556949332
romania,2017,10727.9822007426
russian federation,2017,10658.9130859375
rwanda,2017,758.301002985965
south asia,2017,1874.9491911349
saudi arabia,2017,23081.2045336558
sudan,2017,966.505676269531
senegal,2017,1356.80518449031
singapore,2017,61162.0973932771
solomon islands,2017,2143.57465243959
sierra leone,2017,788.486867334833
el salvador,2017,4020.12671373919
san marino,2017,45192.0279766943
somalia,2017,510.939952988052
serbia,2017,6548.03653824187
south sudan,2017,
sao tome and principe,2017,1555.79477812888
suriname,2017,6049.52128553675
slovak republic,2017,17645.5298716761
slovenia,2017,23303.077705959
sweden,2017,53300.8587281785
eswatini,2017,3831.42595273032
sint maarten (dutch part),2017,34701.3058494468
seychelles,2017,17480.3651911372
syrian arab republic,2017,851.502005254153
turks and caicos islands,2017,25779.6122366146
chad,2017,640.117048532702
togo,2017,792.765487219069
thailand,2017,6413.09182530343
tajikistan,2017,829.45714764957
turkmenistan,2017,5828.4816623489
timor-leste,2017,1266.17767952941
tonga,2017,4365.92932788383
tunisia,2017,3619.03247319953
turkiye,2017,10695.550196231
tuvalu,2017,4165.66338700106
tanzania,2017,986.674011230469
uganda,2017,765.218332297361
ukraine,2017,2604.28759765625
uruguay,2017,19184.6626659717
united states,2017,60322.2614241747
uzbekistan,2017,2190.60411562888
st. vincent and the grenadines,2017,7988.04445019298
virgin islands (u.s.),2017,35365.0693039774
viet nam,2017,2956.10992127753
vanuatu,2017,3159.92716050347
samoa,2017,4307.59381964907
kosovo,2017,4009.31799347588
"yemen, rep.",2017,811.165963877611
south africa,2017,6618.33508255701
zambia,2017,1483.46577328065
zimbabwe,2017,3448.08253696926
aruba,2018,30082.1276448186
africa eastern and southern,2018,1538.92418773564
afghanistan,2018,491.337221382603
africa western and central,2018,1703.89639222804
angola,2018,2538.59139143371
albania,2018,5365.48934672897
andorra,2018,42819.7745797624
united arab emirates,2018,45689.8570040215
argentina,2018,11752.7998922979
armenia,2018,4196.00562301769
american samoa,2018,12552.0546868861
antigua and barbuda,2018,18273.4270684912
australia,2018,57196.4220783778
austria,2018,51194.0749841299
azerbaijan,2018,4739.7943123408
burundi,2018,224.89939239264
belgium,2018,47487.2100392561
benin,2018,1151.74096952152
burkina faso,2018,777.465618514048
bangladesh,2018,1965.24372731467
bulgaria,2018,9436.14479876055
bahrain,2018,26324.4066549559
"bahamas, the",2018,32124.4051059669
bosnia and herzegovina,2018,6047.84584261133
belarus,2018,6360.05310087258
belize,2018,6031.28139580144
bermuda,2018,113204.82210838
bolivia,2018,3500.72642189371
brazil,2018,9300.66164936497
barbados,2018,20055.915870771
brunei darussalam,2018,30988.1190497851
bhutan,2018,3400.20417159422
botswana,2018,7407.95940141786
central african republic,2018,455.243962859534
canada,2018,46539.1761570405
central europe and the baltics,2018,16181.6073703684
switzerland,2018,85217.3691512274
channel islands,2018,60783.3533081111
chile,2018,15659.4808675628
china,2018,9905.40638304527
cote d'ivoire,2018,2130.86619381144
cameroon,2018,1610.69641591017
"congo, dem. rep.",2018,528.256019777898
"congo, rep.",2018,2694.43413191427
colombia,2018,6816.96818309544
comoros,2018,1540.71132257526
cabo verde,2018,4294.96510456428
costa rica,2018,12590.2493781614
cuba,2018,8911.46205964193
curacao,2018,19119.1243941688
cayman islands,2018,83865.5531568184
cyprus,2018,29599.986328125
czechia,2018,23705.9329811299
germany,2018,48874.8595028454
djibouti,2018,2718.0853229414
dominica,2018,8137.56520624242
denmark,2018,61324.7665045565
dominican republic,2018,7934.98141208525
algeria,2018,4577.21029180491
east asia & pacific,2018,11285.8972298534
ecuador,2018,6303.91892523596
"egypt, arab rep.",2018,2484.70315630508
spain,2018,30592.1264795541
estonia,2018,23618.1361254581
ethiopia,2018,747.968143637014
finland,2018,49654.2497035329
fiji,2018,6085.41979209299
france,2018,41418.1766484844
faroe islands,2018,62524.0387361638
"micronesia, fed. sts.",2018,3566.58690371125
gabon,2018,7624.2775233771
united kingdom,2018,43203.8141057739
georgia,2018,4804.0546040444
ghana,2018,2196.61290615342
guinea,2018,933.273615633705
"gambia, the",2018,696.219806960615
guinea-bissau,2018,808.531613218504
equatorial guinea,2018,8102.47084834031
greece,2018,19873.4015238771
grenada,2018,10083.021279225
greenland,2018,54545.135857765
guatemala,2018,4352.94651790253
guam,2018,37195.9503070464
guyana,2018,6048.38697180418
"hong kong sar, china",2018,48537.5668888343
honduras,2018,2464.64241531918
croatia,2018,15460.4183295843
haiti,2018,1496.38048970156
hungary,2018,16425.2050299693
indonesia,2018,3860.95353077708
isle of man,2018,89393.8244248812
india,2018,1966.25455171679
ireland,2018,81248.3135388
"iran, islamic rep.",2018,4631.78709016514
iraq,2018,5646.68932074742
iceland,2018,74452.1890731447
israel,2018,42233.2610344935
italy,2018,34746.3441392416
jamaica,2018,5578.10346083169
jordan,2018,4145.43989673265
japan,2018,39751.1330982711
kazakhstan,2018,9472.48527327758
kenya,2018,1836.45275528993
kyrgyz republic,2018,1283.52040333083
cambodia,2018,2036.67377566578
kiribati,2018,1912.73798131035
st. kitts and nevis,2018,22901.3816403197
"korea, rep.",2018,33447.1562836166
kuwait,2018,32067.9623689512
lao pdr,2018,2545.1075420815
lebanon,2018,9174.53666204759
liberia,2018,692.203127129794
libya,2018,11196.5854810844
st. lucia,2018,11642.7403185172
least developed countries: un classification,2018,1065.22658037951
liechtenstein,2018,174988.775083446
sri lanka,2018,4360.58473469252
lesotho,2018,1170.65569702819
lithuania,2018,19368.5391045353
luxembourg,2018,116786.511654677
latvia,2018,17252.1710428626
"macao sar, china",2018,83761.8171798142
st. martin (french part),2018,
morocco,2018,3501.69799804688
monaco,2018,188298.315668437
moldova,2018,4156.44981956646
madagascar,2018,500.45718552916
maldives,2018,11423.2838427029
mexico,2018,10084.7937562021
marshall islands,2018,4858.12079054875
north macedonia,2018,6713.98925398989
mali,2018,835.086710561793
malta,2018,33332.1905601302
myanmar,2018,1298.21310320785
montenegro,2018,8850.3749248372
mongolia,2018,4107.64288528468
northern mariana islands,2018,26509.3628379893
mozambique,2018,517.507260258101
mauritania,2018,1722.93528854073
mauritius,2018,11643.4605962124
malawi,2018,533.203173686705
malaysia,2018,10901.8019954421
north america,2018,61512.7212012788
namibia,2018,5308.60813408705
new caledonia,2018,34902.8968780031
niger,2018,578.568035680892
nigeria,2018,2057.87944554011
nicaragua,2018,2035.16750115975
netherlands,2018,53955.0770024266
norway,2018,82792.8427113304
nepal,2018,1179.19843190389
nauru,2018,11408.6947593898
new zealand,2018,43228.6976473771
oman,2018,19901.7615642016
pakistan,2018,1569.33814626355
panama,2018,16151.3273478476
peru,2018,6978.49121548627
philippines,2018,3168.51036606257
palau,2018,16197.7254546986
papua new guinea,2018,2566.36833735041
poland,2018,15658.2120316794
puerto rico,2018,31615.0667918433
portugal,2018,23541.1401075289
paraguay,2018,6258.44991640954
west bank and gaza,2018,3562.33094270256
french polynesia,2018,21925.616043938
qatar,2018,71039.8490579352
romania,2018,12502.2624061935
russian federation,2018,11211.8876953125
rwanda,2018,771.773521962568
south asia,2018,1907.38178097978
saudi arabia,2018,28036.0264674095
sudan,2018,731.027465820313
senegal,2018,1452.55612562445
singapore,2018,66840.6373389791
solomon islands,2018,2278.20633913383
sierra leone,2018,845.914540460932
el salvador,2018,4183.54620971358
san marino,2018,47950.6880557136
somalia,2018,509.525802439801
serbia,2018,7559.86165747394
south sudan,2018,
sao tome and principe,2018,1825.59971753966
suriname,2018,6665.74180472239
slovak republic,2018,19573.3717031314
slovenia,2018,25888.0481065655
sweden,2018,54181.9069780904
eswatini,2018,3986.10557163026
sint maarten (dutch part),2018,31708.3110124742
seychelles,2018,18440.2340460932
syrian arab republic,2018,1098.0668642357
turks and caicos islands,2018,27160.1579568902
chad,2018,695.642393675941
togo,2018,851.130806891807
thailand,2018,7099.77650081458
tajikistan,2018,834.288404578801
turkmenistan,2018,6125.05169712085
timor-leste,2018,1219.46598597604
tonga,2018,4638.89774268789
tunisia,2018,3628.10366464236
turkiye,2018,9568.83506330228
tuvalu,2018,4466.12034928245
tanzania,2018,1023.10626220703
uganda,2018,792.16570022814
ukraine,2018,3059.0517578125
uruguay,2018,19249.9401532664
united states,2018,63201.0458483771
uzbekistan,2018,1813.08530813664
st. vincent and the grenadines,2018,8428.12677153069
virgin islands (u.s.),2018,36663.2087550584
viet nam,2018,3222.31003125366
vanuatu,2018,3206.68930842127
samoa,2018,4231.81409469194
kosovo,2018,4384.18624084947
"yemen, rep.",2018,633.887206000087
south africa,2018,6914.1780318076
zambia,2018,1463.89997855593
zimbabwe,2018,2271.8533351306
aruba,2019,31096.2050738676
africa eastern and southern,2019,1493.78044490037
