Country,Year,GDP_per_capita,Education_Attainment,Life_Expectancy,Unemployment_Rate,Happiness Score
azerbaijan,2023,7125.90858368611,17.6700000762939,,5.636,4.893
bahrain,2015,23734.0551143019,,79.405,1.16,6.218
bahrain,2016,23800.001440631,14.2799997329712,79.557,1.192,6.087
bahrain,2017,24784.7693514607,14.3400001525879,79.689,1.194,6.105
bahrain,2018,26324.4066549559,21.6100006103516,79.857,1.2,6.199
bahrain,2019,27259.7438599327,,80.019,1.223,6.22730016708374
bahrain,2020,24342.8444554718,23.3299999237061,79.174,1.781,6.647
bahrain,2021,27147.8083882286,,78.76,1.541,6.647
bahrain,2022,30616.2610677495,29.7800006866455,79.246,1.326,6.173
bahrain,2023,29218.8605634137,29.5799999237061,,1.154,5.959
bangladesh,2015,1224.38647668165,8.23999977111816,70.491,4.396,4.643
bangladesh,2016,1649.28380858601,8.51000022888184,71.09,4.35,4.608
bangladesh,2017,1811.08221668646,8.97999954223633,71.788,4.372,4.5
bangladesh,2018,1965.24372731467,9.35999965667725,72.567,4.407,4.456
bangladesh,2019,2129.79896954606,9.76000022888184,72.806,4.441,4.83279991149902
bangladesh,2020,2248.85078828233,,71.968,5.436,5.025
bangladesh,2021,2482.84917843357,9.78999996185303,72.381,5.327,5.155
bangladesh,2022,2716.48592677835,7.57236766815186,73.698,4.593,4.282
bangladesh,2023,2551.01772674142,,,4.454,3.886
belarus,2015,5967.06856034227,,73.6243902439025,5.881,5.802
belarus,2016,5039.77560949445,,73.8268292682927,5.844,5.569
belarus,2017,5785.53397723676,,74.1292682926829,5.648,5.483
belarus,2018,6360.05310087258,,74.1756097560976,4.763,5.323
belarus,2019,6837.76832136779,28.2999992370605,74.2268292682927,4.165,5.5398998260498
belarus,2020,6542.8645398436,,72.4572195121951,4.049,5.534
belarus,2021,7489.71894713888,,72.3706829268293,3.9,5.821
belgium,2015,40893.804537772,31.7099990844727,80.9926829268293,8.482,6.929
belgium,2016,41854.5498296444,32.1699981689453,81.4390243902439,7.83,6.891
belgium,2017,44035.3239358548,34.689998626709,81.4926829268293,7.09,6.927
belgium,2018,47487.2100392561,35.2702827453613,81.5951219512195,5.941,6.923
belgium,2019,46716.6227467964,35.2999992370605,81.9951219512195,5.364,6.86350011825562
belgium,2020,45906.2875805246,36.6534843444824,80.6951219512195,5.545,6.834
belgium,2021,51655.7883303715,38.5315399169922,81.790243902439,6.248,6.805
belgium,2022,50807.2047084918,39.385196685791,81.6975609756098,5.57,6.859
belgium,2023,54700.9093236712,,82.5,5.528,6.894
belize,2015,6154.49593498217,2.56925010681152,73.187,7.578,5.956
belize,2016,6142.49873185177,,73.399,7.0,5.956
belize,2017,6072.58267640581,,73.562,6.596,5.956
benin,2015,1002.41886882564,,59.377,1.82,3.484
benin,2016,1010.53389609187,,59.539,1.784,3.657
benin,2017,1054.97408141687,2.53311991691589,59.856,1.659,4.141
benin,2018,1151.74096952152,0.0,60.14,1.41,4.883
benin,2019,1130.82135304977,3.54480004310608,60.454,1.214,5.21600008010864
benin,2020,1197.50136428063,,60.088,1.502,5.045
benin,2021,1318.83497843483,3.06135010719299,59.821,1.779,4.623
benin,2022,1264.70765976655,4.79155015945435,59.954,1.685,4.374
benin,2023,1394.37330217623,,,1.657,4.377
bhutan,2015,2954.04081973327,,70.343,2.45,5.196
bhutan,2016,3152.30905081592,,70.602,2.705,5.011
bhutan,2017,3435.28804814561,10.1999998092651,70.847,3.016,5.082
bhutan,2018,3400.20417159422,,71.129,3.35,5.082
bolivia,2015,2996.01289804214,22.3299999237061,67.318,3.111,5.822
bolivia,2016,3035.8734778704,13.4819030761719,67.628,3.498,5.823
bolivia,2017,3306.30301176558,14.1513919830322,67.701,3.655,5.752
bolivia,2018,3500.72642189371,14.3088550567627,67.748,3.519,5.779
bolivia,2019,3503.8960106182,24.7000007629395,67.841,3.682,5.74749994277954
bolivia,2020,3099.94219044572,26.8199996948242,64.467,7.903,5.716
bolivia,2021,3384.84486479247,16.2906856536865,63.63,5.089,5.6
bolivia,2022,3643.92826968677,16.893159866333,64.928,3.552,5.684
bolivia,2023,3686.27996490544,17.8769969940186,,3.024,5.784
bosnia and herzegovina,2015,4662.25883724069,7.55000019073486,76.182,27.695,5.163
bosnia and herzegovina,2016,4928.5665251728,8.38000011444092,76.808,25.408,5.182
bosnia and herzegovina,2017,5345.01985489192,7.18639755249023,76.935,20.527,5.129
bosnia and herzegovina,2018,6047.84584261133,7.75,77.093,18.4,5.386
bosnia and herzegovina,2019,6122.3753450882,6.99687480926514,77.241,15.692,5.67409992218018
bosnia and herzegovina,2020,6130.31133245161,10.5900001525879,76.225,15.868,5.813
bosnia and herzegovina,2021,7295.3438240957,11.7022619247437,75.3,14.897,5.768
bosnia and herzegovina,2022,7655.59421024383,12.289999961853,75.293,12.657,5.633
bosnia and herzegovina,2023,8638.66620201187,11.276029586792,,10.668,5.877
botswana,2015,6141.20394726616,,63.818,18.93,3.974
botswana,2016,6749.05994339013,,65.464,19.329,3.766
botswana,2017,7104.96401088027,,66.753,19.664,3.59
botswana,2018,7407.95940141786,,65.422,19.681,3.488
botswana,2019,7172.08956480028,8.1895227432251,65.464,20.094,3.47889995574951
botswana,2020,6323.31419156209,8.33574199676514,65.647,21.017,3.467
botswana,2021,7808.20623956293,8.84055423736572,61.141,23.106,3.471
botswana,2022,8329.04032229144,9.51717185974121,65.913,23.615,3.435
botswana,2023,7820.23240375076,9.64603805541992,,23.381,3.383
brazil,2015,8936.19661756825,,74.332,8.538,6.952
brazil,2016,8836.28652636996,15.3500003814697,74.442,11.58,6.635
brazil,2017,10080.5092817775,15.7299995422363,74.827,12.792,6.419
brazil,2018,9300.66164936497,16.5400009155273,75.109,12.329,6.3
brazil,2019,9029.83326742175,,75.338,11.936,6.37559986114502
brazil,2020,7074.19378281866,,74.009,13.697,6.33
brazil,2021,7972.53665048385,,72.75,13.158,6.293
brazil,2022,9281.33334441234,,73.425,9.231,6.125
brazil,2023,10294.866680778,,,7.947,6.272
bulgaria,2015,7078.86032298969,24.4699993133545,74.6146341463415,9.143,4.217
bulgaria,2016,7570.93165511708,24.6299991607666,74.8121951219512,7.575,4.714
bulgaria,2017,8381.88134621669,24.7099990844727,74.8146341463415,6.164,4.933
bulgaria,2018,9436.14479876055,25.113618850708,74.9634146341464,5.211,5.011
bulgaria,2019,9838.60058985384,25.1552085876465,75.1121951219512,4.23,5.10150003433228
bulgaria,2020,10198.5388313404,26.0499992370605,73.6585365853659,5.125,5.266
bulgaria,2021,12274.0775950496,26.2697563171387,71.4634146341463,5.267,5.371
bulgaria,2022,13644.201582807,26.3977317810059,74.3609756097561,4.268,5.466
bulgaria,2023,15885.5391311331,,75.8,4.319,5.463
burkina faso,2015,630.124750752312,,58.845,4.461,3.739
burkina faso,2016,663.742364842886,,59.326,4.587,4.032
burkina faso,2017,709.091535894695,,59.536,4.656,4.424
burkina faso,2018,777.465618514048,2.15000009536743,60.047,4.695,4.587
burkina faso,2019,764.853077774946,2.11959004402161,60.039,4.71,4.76870012283325
burkina faso,2020,825.237038782475,,59.731,5.04,4.834
burkina faso,2021,895.535288442991,2.40341997146606,59.27,5.2,4.67
burkina faso,2022,836.118304593682,1.9884124994278,59.766,5.389,4.638
burkina faso,2023,882.689810086163,2.29087615013123,,5.348,4.548
burundi,2015,280.966831311923,,60.217,1.442,2.905
burundi,2016,235.286205393908,,60.793,1.347,2.905
burundi,2017,236.694472592753,0.910000026226044,61.553,1.247,2.905
burundi,2018,224.89939239264,,61.688,1.146,3.775
burundi,2019,210.236494521532,,62.351,1.043,3.77530002593994
burundi,2020,210.008139902508,,61.566,1.03,3.775
cambodia,2015,1547.32010444393,5.04369831085205,69.873,0.393,3.907
