Year,Country,GDP_per_capita,Education_Attainment,Life_Expectancy,Unemployment_Rate,Happiness Score
2015,Australia,56739.0265346593,29.7800006866455,82.4,6.055,7.313
2023,Austria,56033.573792065,14.7956075668335,81.6,5.264,6.905
2022,Austria,52176.6649141178,14.7956075668335,81.0926829268293,4.992,7.097
2021,Austria,53648.7190742245,16.605094909668,81.190243902439,6.459,7.163
2020,Austria,48716.4098900349,15.9696025848389,81.1926829268293,5.201,7.268
2019,Austria,49885.9947355204,15.3599996566772,81.8951219512195,4.56,7.29419994354248
2018,Austria,51194.0749841299,14.7956075668335,81.6926829268293,4.933,7.246
2017,Austria,47163.7425775142,14.25,81.6439024390244,5.561,7.139
2016,Austria,45061.4993920192,13.460000038147,81.6414634146342,6.064,7.006
2015,Austria,43915.228020857,13.0799999237061,81.190243902439,5.802,7.119
2023,Azerbaijan,7125.90858368611,17.6700000762939,72.58098800992877,5.636,4.893
2021,Azerbaijan,5408.04535175023,16.2499160766602,69.366,6.04,5.173
2020,Azerbaijan,4229.91064904503,15.7299995422363,66.868,7.24,5.171
2019,Azerbaijan,4805.75371765917,15.7200002670288,73.102,5.0,5.16480016708374
2018,Azerbaijan,4739.7943123408,15.7299995422363,72.76,4.9,5.208
2017,Azerbaijan,4147.1981423222,15.7200002670288,72.248,5.0,5.201
2016,Azerbaijan,3880.6852276838,15.7399997711182,72.004,5.0,5.234
2015,Azerbaijan,5500.50364628486,15.6899995803833,71.451,4.96,5.291
2023,Bahrain,29218.8605634137,29.5799999237061,72.58098800992877,1.154,5.959
2022,Bahrain,30616.2610677495,29.7800006866455,79.246,1.326,6.173
2021,Bahrain,27147.8083882286,22.47000026702885,78.76,1.541,6.647
2020,Bahrain,24342.8444554718,23.3299999237061,79.174,1.781,6.647
2019,Bahrain,27259.7438599327,22.47000026702885,80.019,1.223,6.22730016708374
2018,Bahrain,26324.4066549559,21.6100006103516,79.857,1.2,6.199
2017,Bahrain,24784.7693514607,14.3400001525879,79.689,1.194,6.105
2016,Bahrain,23800.001440631,14.2799997329712,79.557,1.192,6.087
2015,Bahrain,23734.0551143019,22.47000026702885,79.405,1.16,6.218
2023,Bangladesh,2551.01772674142,8.97999954223633,72.58098800992877,4.454,3.886
2022,Bangladesh,2716.48592677835,7.57236766815186,73.698,4.593,4.282
2021,Bangladesh,2482.84917843357,9.78999996185303,72.381,5.327,5.155
2020,Bangladesh,2248.85078828233,8.97999954223633,71.968,5.436,5.025
2019,Bangladesh,2129.79896954606,9.76000022888184,72.806,4.441,4.83279991149902
2018,Bangladesh,1965.24372731467,9.35999965667725,72.567,4.407,4.456
2017,Bangladesh,1811.08221668646,8.97999954223633,71.788,4.372,4.5
2016,Bangladesh,1649.28380858601,8.51000022888184,71.09,4.35,4.608
2015,Bangladesh,1224.38647668165,8.23999977111816,70.491,4.396,4.643
2021,Belarus,7489.71894713888,28.2999992370605,72.3706829268293,3.9,5.821
2020,Belarus,6542.8645398436,28.2999992370605,72.4572195121951,4.049,5.534
2019,Belarus,6837.76832136779,28.2999992370605,74.2268292682927,4.165,5.5398998260498
2018,Belarus,6360.05310087258,28.2999992370605,74.1756097560976,4.763,5.323
2017,Belarus,5785.53397723676,28.2999992370605,74.1292682926829,5.648,5.483
2016,Belarus,5039.77560949445,28.2999992370605,73.8268292682927,5.844,5.569
2015,Belarus,5967.06856034227,28.2999992370605,73.6243902439025,5.881,5.802
2023,Belgium,54700.9093236712,35.285140991210895,82.5,5.528,6.894
2022,Belgium,50807.2047084918,39.385196685791,81.6975609756098,5.57,6.859
2021,Belgium,51655.7883303715,38.5315399169922,81.790243902439,6.248,6.805
2020,Belgium,45906.2875805246,36.6534843444824,80.6951219512195,5.545,6.834
2019,Belgium,46716.6227467964,35.2999992370605,81.9951219512195,5.364,6.86350011825562
2018,Belgium,47487.2100392561,35.2702827453613,81.5951219512195,5.941,6.923
2017,Belgium,44035.3239358548,34.689998626709,81.4926829268293,7.09,6.927
2016,Belgium,41854.5498296444,32.1699981689453,81.4390243902439,7.83,6.891
2015,Belgium,40893.804537772,31.7099990844727,80.9926829268293,8.482,6.929
2017,Belize,6072.58267640581,2.56925010681152,73.562,6.596,5.956
2016,Belize,6142.49873185177,2.56925010681152,73.399,7.0,5.956
